"编号","建议用字","对应华语"
416,一躯新衫,一套衣服
417,一领,一件
418,甲伊买,给他买
419,买互伊,买给他
420,一个,一只
421,一支,一把
422,一迣,一趟
423,一从,一支
424,加买东西,多买东西
425,较省,省的
426,悬,高
427,低,低
428,尔,而已
429,较（ka）大,比较大
430,啊未食,还没吃
431,倚（wa）,靠
432,秋凊,凉快
433,人咧讲,人们在说
434,热甲未死,热得要命
435,即款,这种
436,呣、无、未,吗
437,汝食（无）,吃饭（了吗）
438,是安尼（呣）,是这样（吗）
439,交钱啊（未）,交钱（了吗）
440,较好（无）,好些（了吗）
441,看着（无）,看到（了吗）
442,加啉,多喝
443,较紧、真紧,很快
444,规身无力,全身无力
445,下咧叨位、下咧倒落,放在哪
446,一寡,一些
447,矸,瓶子
448,映望,希望
449,搁会赴,来得及
450,洗喙,刷牙
451,洗面,洗脸
452,桌仔,桌子
453,涂骹,地板、地上
454,揉清气,擦干净
455,一身躯,整个身体
456,紧去,快去
457,拢着,都要
458,寒着,着凉
459,摒扫,打扫
460,紧来去,快点儿去
461,闹热,热闹
462,拍,打
463,规个,整个
464,上侪,最多
465,无影,哪里、没有的事
466,较出力,认真、努力一点
467,搭车,乘车
468,定好势,预定好
469,拣物件,挑东西
470,副,套
471,参详,商量
472,一项,一种
473,拢总,一共
474,果子,水果
475,挵破,打破
476,拍无去,丢掉
477,甲汝讲,告诉你、和你说
478,批,信封
479,落伫,掉在
480,倚（Kia）,住
481,落车,下车
482,看落去,看下去
483,看著,看上去、看着
484,看了,看完
485,锁匙,钥匙
486,斡,拐弯、转弯
487,搭,贴
488,肖捌,认识
489,古意,热情、老实
490,生理,生意
491,赫尔,那样
492,海味,海鲜
493,项,种
494,试看卖,试一试
495,照讲,按说
496,数号,账号
497,斗参共,帮忙
498,汝做汝讲,你尽管讲
499,伤短,太短
500,入去,进去
501,若走若看,边走边看
502,早起,早饭
503,看汝无,看不起你
504,搁伫,又在
505,拄着,碰到、遇到
506,变甲,变得
507,偓侪,烦躁
508,气味,味道
509,无法,没办法
510,算数,结账
511,肥,胖
512,留稠,留着
513,献（hi）,扔
514,应,回答
515,忽然间、雄雄、无张持,忽然
516,凊彩,随便
517,好佳在,好在
518,较早休困,早点睡
519,也是,还是
520,欢喜,开心
521,趁钱,赚钱
522,无采,白费、可惜
523,无采工,没用
524,搅吵,打搅
525,毋闲,太忙
526,啊未,还没
527,惊神,吵醒
528,安尼,那
529,涂骹,地板、地上
530,食会了，食会落,吃得完，吃的下
531,生,长（比如脸上长东西）
532,厝,房子
533,毋睬汝,不理你
534,顶哺,上午
535,冻未调,受不了
536,即卖,现在
537,参（我参汝）,和(我和你)
538,足（jio）,很
539,卖安尼,不要这样
540,巴肚,肚子
541,头拄啊,刚才
542,同齐,一起
543,即久、即卖,现在
544,抑侪,很多
545,逐久啊,一会儿
546,相像、参像、参相,一样
547,项,一种
548,一卖、卖,一次、次
549,卖、茫,不要
