序号,注音,语料统一用字,其他可接受的写法,辞典将来用字参考,普通话,优先级
266,hok6thong2,学堂,,,学校,266
267,cok6bu1,昨晡,,,昨晚,267
268,it5,一,,,一,268
269,zun3pi4,准备,,,准备,269
270,zen1dit5,争滴,,,差点,270
271,gung1ngan2,公园,,,公园,271
272,zin1he4tet5,真是太,,,真是太,272
273,hiong1,香,,,香,273
274,vuk5ha4li3boi4,屋下里背,,,家里,274
275,mien6,面,,,脸,275
276,sin1phi1,身坯,,,身躯,276
277,muk6tsip5,目汁,,,眼泪,277
278,heu3lan1sui3,口澜水,,,口水,278
279,liang4,靓,,,漂亮,279
280,cong4ban3,仗板,,,漂亮,280
281,gau1,高,,,高,281
282,biau3ien1,表演,,,表演,282
283,coi4si4cong2,菜市场,,,菜市场,283
284,la1,啦,,,啦,284
285,sui3,水,,,水,285
286,gui4,贵,,,贵,286
287,gi1zak5,几只,,,几个,287
288,kon4hi3loi2,看起来,,,看起来,288
289,ha1bai3,下摆,,,下次,289
290,ga4zien3,价钱,,,价格,290
291,sang1im1,声音,,,声音,291
292,it5mu2it5ngiong4,一模一样,,,一模一样,292
293,ngai4io1,哎哟,,,哎哟,293
294,cam4ga1,参加,,,参加,294
295,su3ngi4,手艺,,,手艺,295
296,iun4tung4,运动,,,运动,296
297,siau3sim1,小心,,,小心,297
298,song2song2,尝尝,,,尝尝,298
299,ngan2set5,颜色,,,颜色,299
300,i4ien4,医院,,,医院,300
301,zung4,种,,,种,301
302,zau1dit5,朝滴,,,早点,302
303,go4ngit5,过日,,,经常、总是,303
304,ge3pien3,𠮶片,,,这边,304
305,mun2keu3,门口,,,门口,305
306,kon4cok6,看着,,,看着,306
307,sung4,送,,,送,307
308,di1boi4,底背,,,里面,308
309,tiau4,跳,,,跳,309
310,van2sien2,还有,,,还有,310
311,pok6pu4,跑步,,,跑步,311
312,bau4miang2,报名,,,报名,312
313,lien4,练,,,练,313
314,siau3ki1,小区,,,小区,314
315,ham3,喊,,,叫,315
316,sia3,写,,,写,316
317,van2oi4,还爱,,,还要,317
318,ge3pu4,𠮶部,,,这部,318
319,iu4zi3,柚子,,,柚子,319
320,lau3ban3,老板,,,老板,320
321,lau3ngin2ga1,老人家,,,老人家,321
322,cau1si4,超市,,,超市,322
323,ngiat6tien1,热天,,,夏天,323
324,moi4e3,妹欸,,,女儿,324
325,tiau2,条,,,条,325
326,miong3song1,网上,,,网上,326
327,tit5hap6,适合,,,适合,327
328,gong3,讲,,,讲,328
329,ki1sut6,技术,,,技术,329
330,tsit6theu2,直头,,,简直,330
331,zung3he4,总係,,,总是,331
332,tsiet6,绝,,,绝,332
333,it5ngiong4ge4,一樣个,,,似的,333
334,ge3kian4,𠮶件,,,这件,334
335,gen1dau3,跟着,,,跟着,335
336,ho2bien1,河边,,,河边,336
337,fa4,画,,,画,337
338,ban1,班,,,班,338
339,m2hau3,唔好,,,不好,339
340,ge4zung4,个种,,,那种,340
341,ge3tiau2,𠮶条,,,这条,341
342,gung1zo4,工作,,,工作,342
343,koi1ci3,开始,,,开始,343
344,zong4,装,,,装,344
345,tsit5liong2,质量,,,质量,345
346,tung4zo4,动作,,,动作,346
347,lim1,啉,,,喝（液体）。~酒、~水。,347
348,lai4 / thai3,睐,睇,,看。~书、~电视。,348
349,va4,话,,,告诉、说。~佢知。,349
350,soi4,睡,,,睡。~目。,350
351,ki1,企,,,站。~起来。,351
352,dun3,趸,,,蹲。,352
353,kai2 / hoi2,揩,,,挑。~水。,353
354,kuan4,擐,,,提、拎。~等个包。,354
355,lap6,擸,,,捡、拾。~起来。,355
356,gok6,掴,,,打（耳光）。~一巴掌。,356
357,sit6,识,,,知道、认识。~唔~？,357
358,liau3,了,,,完毕、了结。~结、~解。,358
359,ziau4,噍,,,咬，嚼,359
360,ngai4,啮,,,用牙咬,360
361,set6zau1,食朝,,,吃早饭,361
362,sei1,舐,,,舔,362
363,luk6,摝,,,搅拌,363
364,va3,搲,,,以手抓细小物,364
365,tit5,的,,,用线缝,365
366,tsuk6,蹴（趜）,,,追赶,366
367,pi4,鼻,,,闻,367
368,fut6 / fia4,拂,,,丢掉,368
369,min2,眠,,,睡觉、睡,369
370,la2,逻,,,去…,370
371,si2gan4,时间,,,时间,371
372,mun4ti2,问题,,,问题,372
373,gi1ien2,居然,,,居然,373
374,tsung2,从,,,从,374
375,ge4tien1,个天,,,那天,375
376,ng2,鱼,,,鱼,376
377,bun3ti4,本地,,,本地,377
378,lang2li4,伶俐,,,干净,378
379,hau3ciong4,好像,,,好像,379
380,coi4,菜,,,菜,380
381,mai1diam3,买点,,,买点,381
382,cui4mun2,出门,,,出门,382
